Entity,ThreadCount, TestType, Workload, Duration
SalesOrderHeaderV2,1,Random,ReadThread,2786.788
SalesOrderHeaderV2,1,Random,ReadThread,899.464
SalesOrderHeaderV2,1,Random,ReadThread,709.9773
SalesOrderHeaderV2,1,Random,ReadThread,673.8338
SalesOrderHeaderV2,1,Random,ReadThread,605.0251
SalesOrderHeaderV2,1,Random,ReadThread,684.869
SalesOrderHeaderV2,1,Random,ReadThread,957.3376
SalesOrderHeaderV2,1,Random,ReadThread,736.0345
SalesOrderHeaderV2,1,Random,ReadThread,640.4571
SalesOrderHeaderV2,1,Random,ReadThread,1197.2384
SalesOrderHeaderV2,1,Random,ReadThread,1076.1813
SalesOrderHeaderV2,1,Random,ReadThread,1075.1798
SalesOrderHeaderV2,1,Random,ReadThread,864.321
SalesOrderHeaderV2,1,Random,ReadThread,1627.0597
SalesOrderHeaderV2,1,Random,ReadThread,751.3397
SalesOrderHeaderV2,1,Random,ReadThread,804.4734
SalesOrderHeaderV2,1,Random,ReadThread,818.4032
SalesOrderHeaderV2,1,Random,ReadThread,685.1939
SalesOrderHeaderV2,1,Random,ReadThread,687.6294
SalesOrderHeaderV2,1,Random,ReadThread,624.5432
SalesOrderHeaderV2,1,Random,ReadThread,644.0962
SalesOrderHeaderV2,1,Random,ReadThread,605.492
SalesOrderHeaderV2,1,Random,ReadThread,628.2268
SalesOrderHeaderV2,1,Random,ReadThread,606.8006
SalesOrderHeaderV2,1,Random,ReadThread,728.603
SalesOrderHeaderV2,1,Random,ReadThread,643.9868
SalesOrderHeaderV2,1,Random,ReadThread,600.4181
SalesOrderHeaderV2,1,Random,ReadThread,589.3024
SalesOrderHeaderV2,1,Random,ReadThread,625.1799
SalesOrderHeaderV2,1,Random,ReadThread,666.1257
SalesOrderHeaderV2,1,Random,ReadThread,756.8628
SalesOrderHeaderV2,1,Random,ReadThread,1001.1605
SalesOrderHeaderV2,1,Random,ReadThread,937.4052
SalesOrderHeaderV2,1,Random,ReadThread,1270.1679
SalesOrderHeaderV2,1,Random,ReadThread,629.5149
SalesOrderHeaderV2,1,Random,ReadThread,736.0698
SalesOrderHeaderV2,1,Random,ReadThread,663.1965
SalesOrderHeaderV2,1,Random,ReadThread,635.7315
SalesOrderHeaderV2,1,Random,ReadThread,650.5005
SalesOrderHeaderV2,1,Random,ReadThread,772.1859
SalesOrderHeaderV2,1,Random,ReadThread,724.2444
SalesOrderHeaderV2,1,Random,ReadThread,735.5433
SalesOrderHeaderV2,1,Random,ReadThread,543.3349
SalesOrderHeaderV2,1,Random,ReadThread,709.7286
SalesOrderHeaderV2,1,Random,ReadThread,555.249
SalesOrderHeaderV2,1,Random,ReadThread,586.8027
SalesOrderHeaderV2,1,Random,ReadThread,602.1978
SalesOrderHeaderV2,1,Random,ReadThread,564.0858
SalesOrderHeaderV2,1,Random,ReadThread,578.629
SalesOrderHeaderV2,1,Random,ReadThread,628.3132
SalesOrderHeaderV2,1,Random,ReadThread,693.2263
SalesOrderHeaderV2,1,Random,ReadThread,756.4898
SalesOrderHeaderV2,1,Random,ReadThread,677.2324
SalesOrderHeaderV2,1,Random,ReadThread,755.8351
SalesOrderHeaderV2,1,Random,ReadThread,745.7543
SalesOrderHeaderV2,1,Random,ReadThread,609.9339
SalesOrderHeaderV2,1,Random,ReadThread,603.2433
SalesOrderHeaderV2,1,Random,ReadThread,592.4085
SalesOrderHeaderV2,1,Random,ReadThread,615.9533
SalesOrderHeaderV2,1,Random,ReadThread,560.8707
SalesOrderHeaderV2,1,Random,ReadThread,624.5447
